file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/components/admin/inspector/modules/cms-inspector.tsx,C,166,"react:useEffect,useState | jsx-nodes:20",0.00,"react-hooks=useEffect,useState"
web/src/components/admin/inspector/modules/default-inspector.tsx,A,27,jsx-nodes:1,0.25,pure presentational
web/src/components/admin/inspector/modules/inquiries-inspector.tsx,C,378,"react:useEffect,useState | events:2 | browser:document | jsx-nodes:61",0.00,heavy state (11 useState)
web/src/components/admin/inspector/modules/talent-inspector.tsx,C,232,"react:useEffect,useState | custom-hooks:useTalentInspectorPayload | jsx-nodes:48",0.00,"react-hooks=useEffect,useState; custom-hooks=useTalentInspectorPayload"
web/src/components/admin/profile-settings/profile-shell.tsx,C,598,events:5 | jsx-nodes:113,0.00,heavy state (3 useState)
web/src/components/admin/setup/setup-kit-card.tsx,A,135,jsx-nodes:14,0.25,pure presentational
web/src/components/admin/shell/admin-shell-client.tsx,C,2488,"react:useEffect,useRef,useState | nav:usePathname | custom-hooks:useAdminShell,useDashboardText,useDevControlBar,useInquiryRealtime | events:25 | browser:document,requestAnimationFrame,window | jsx-nodes:114",0.00,heavy state (10 useState)
web/src/components/admin/shell/admin-shell.tsx,C,933,"react:useEffect,useLayoutEffect,useState | nav:usePathname,useSearchParams | events:16 | browser:localStorage | jsx-nodes:122",0.00,heavy state (7 useState)
web/src/components/admin/shell/internal/admin-tour.tsx,A,73,jsx-nodes:1,0.25,admin-shell
web/src/components/admin/shell/internal/client.tsx,C,3772,"custom-hooks:useAdminShell | events:93 | browser:sessionStorage,window | jsx-nodes:407",0.00,heavy state (14 useState)
web/src/components/admin/shell/internal/context-add-search.tsx,C,353,"react:useEffect,useRef,useState | custom-hooks:useDashboardText | events:6 | jsx-nodes:23",0.00,heavy state (6 useState)
web/src/components/admin/shell/internal/context-slot-panel.tsx,C,497,"react:useEffect,useRef,useState | custom-hooks:useDashboardText | events:4 | jsx-nodes:24",0.00,heavy state (5 useState)
